shstReferenceId,min_lanes,max_lanes,oneWay
00de5369d195f82183cd2dd631099fed,2,2,True
00df44018dfc05acdcb2012246f66457,2,3,"[True, True]"
00df80ce19aa136a2bed94ab404ed26d,3,3,True
00e015b01858ecb306ab0f1e7a13dad2,3,3,"[True, True]"
00e0a3fd43f1f52428e16b5b34cf362a,2,2,False
00e0c441e4ee025fbe2d1a8a4fd7131b,2,2,False
00e0f34691100ad57c24e7949be11722,3,3,True
00e24b01da4662248c8be0aa7e48a039,1,1,True
00e2fd037ea2b6f142c7a0cef5233701,3,3,True
00e35848d54d09811dcf66b47d579d0b,2,3,"[True, True]"
00e4b4feb3a08a3e9865164ff3222539,2,2,False
00e580d1a01ecbe12e2704e49580f221,2,2,"[True, True]"
00e654f0034a524740fee129409c0d1c,2,2,True
00e69bb21f63b8185a3d626b026ca3aa,4,4,False
00e70d21a364d9bcfe93259d071e6906,3,3,True
00e710caefa2e9d5909b2197b8b14108,3,3,"[True, True]"
00e719ff0bee7025dd6a037d7e96c784,4,4,True
00e743aba40912656c03b42f5902844d,2,2,False
00e7641617d3ac1ed8a67243d798de4b,2,2,False
00e7b9b6d4d0847e11057c4d31b1659d,1,2,"[True, True]"
00e8b09e0e89112209a40594afafbebd,3,3,False
00e97197cd283aca7246fa6a3db8140b,3,3,True
00ea0b21ce26f8bea53c61c94557582b,2,2,False
00eae6498fcd1226b7803362efd9d727,2,3,"[True, True, True, True]"
00eaf4de76d075ff5f18e00f66e0ea26,1,1,True
00ec11ade977ad6aa5edaebca46b467d,2,2,False
00edd0aa32216b796dc91489303d1221,3,3,True
00edd7938e9bb35e4ddf54ee1e8e31d9,2,2,False
00eddbd39578a7c2b6c3a2feb2a49c83,2,2,False
00eebfc7e6a0e395e0ec4ad4bbd09400,2,2,False
00ef15185350e4c239c2d6e8cd415eef,2,2,False
00ef5a1ca7b420f918ca5e3dde949953,3,3,False
00f02e481c8d985e6b8a7a23f87f80a9,2,2,False
00f04b5ae752eb7eab0c9b750cbb6cdb,3,3,True
00f06645c2effaf0b738ccc1d52b9f18,2,2,False
00f129093b17a96020c9a0d75aad0828,2,2,True
00f226ce1f935968d50e964503584cba,1,1,False
00f22bbd35355e266861be24d5db64cd,2,2,False
00f29fd1ff60024c31a8206a3a415b15,2,2,False
00f2a8119f42ca7e6f3d8c96a10b609e,2,2,True
00f2e97947bf226577dfdb8885d32d8f,3,3,True
00f2f0c5838595fb649ee52416acc645,5,5,True
00f33033bffc050e6f1a87411f57f617,2,2,True
00f45e7ec965199c8b0b32520d2749f4,1,2,"[False, False, False]"
00f58d4f91e224452f25147ffd691509,3,3,False
00f804de23bf9870240763e00e0b7698,5,5,False
00f88de4bb25bf76a2804b196256d856,2,2,False
00f8b30b0a477f946fc697906e1c52c4,2,2,False
00fb2e93c388aaeba6803404ba735c2e,2,2,False
00fb56d4bc8d47d5e9aa96e58a68a06e,2,2,False
00fd00cdd79e51388ac2856f2bcc877e,1,1,True
00fda6ac0067edb43a0b24ce8e2df0c3,2,2,False
00fe71d0360a9e5bf42b7a14cefcc556,3,3,False
00fe925ef1e385e82fb00730e55c8ef7,2,2,False
00fec9dc395516f6109b71cf22aedb9d,2,2,False
00ff1d8493ea56e766bedbd47663cbb0,2,2,True
00ffecf9a380287d37c1a489e630eb87,3,3,False
010015f3d8aa6b49f4034cfb66b05ed1,2,2,True
01011980629971e3d521b4a95b090a0f,1,1,False
01011c99c75de1002928e036e6a7c0d8,2,2,False
0102d40db782143fce0ff0ff9d34004b,2,3,"[False, False, False]"
01031bc0c3ad5fe050cb784d436b6670,1,1,True
01037e62cab12d984ac3e0e47eff8ddb,5,5,"[False, False]"
01046c79485ad094c1ba7a4a7e5d4142,2,2,False
0104f65e195e13bb63dc9ae44f125240,2,2,False
0105a72aedb4c574653a2126797c3259,2,2,False
0105d3983737b64de02f203d096729c3,4,4,True
0106af6a91cfbb436f5df8df3fda2569,2,2,False
01071dfd54b8a1b7b77f6af63d269241,2,2,False
0107d325cd5d0e6a1893320b7c0339da,2,2,True
01084b9d23cf80164448ad4b0a41c233,2,2,False
010859897583309e484b9574bd4e040a,2,2,False
010863c2b8b40d8f3e1361fc665b878c,2,2,False
010906df320f361857a69ebb739a659a,2,2,False
010bb6a4f79ac4f9816bf2fd0e2807e9,3,3,True
010bc7dc3d20aae0774355ffbeebb673,2,2,False
010be3bf222f96ca8a2042dfc7a638ec,2,2,True
010be7c4dad798dade7d1a0111d3e5b7,5,5,False
010d6ac817f48560601f8c5fd17487b1,1,1,True
0110feae69ce955b13ee2def9d89a233,2,2,False
0111205ae4c674571e9ae2fbaac46271,2,2,False
0111bfea3d00bfbbc96579a5a85ea70e,3,3,"[False, False]"
0111e55ff15cb93ae2a2cc9e0619f4c1,2,2,False
011264c8a5eb61c9203ce0975dbbba9c,2,2,True
0112d35e12c39a1d71276c5d5b75db5f,2,2,True
01140c9139784236cad83259e6496387,4,4,False
01141501f8bd15c55fb9e41c228ed094,2,2,True
011533c75ac63d31c18347650e7c8437,2,2,False
011566e0bc936f3f6c14d819e3976cdb,4,4,False
0115f62b591755d4084d7232c6aaebfb,2,2,False
011636699af3547111d6247d36d41271,2,2,False
011655005eb9a373f0856d58b9b271f3,1,1,True
0116629795aacc0ebd3c0a673b6dd48d,3,3,False
0118f3836c8b65b492c60f92d692b203,4,4,False
011912862ad0bf451ec4dd766bdd075a,2,2,False
011a0718adafa3f4adbcf72475b5349e,3,3,True
